index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
0,ts300399,Five Came Back: The Reference Films,SHOW,1945,TV-MA,48,['documentation'],['US'],1.0,,,
1,tm84618,Taxi Driver,MOVIE,1976,R,113,"['crime', 'drama']",['US'],,tt0075314,8.3,795222.0
2,tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,"['comedy', 'fantasy']",['GB'],,tt0071853,8.2,530877.0
3,tm70993,Life of Brian,MOVIE,1979,R,94,['comedy'],['GB'],,tt0079470,8.0,392419.0
4,tm190788,The Exorcist,MOVIE,1973,R,133,['horror'],['US'],,tt0070047,8.1,391942.0
5,ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,tt0063929,8.8,72895.0
6,tm14873,Dirty Harry,MOVIE,1971,R,102,"['thriller', 'crime', 'action']",['US'],,tt0066999,7.7,153463.0
7,tm185072,My Fair Lady,MOVIE,1964,G,170,"['drama', 'music', 'romance', 'family']",['US'],,tt0058385,7.8,94121.0
8,tm98978,The Blue Lagoon,MOVIE,1980,R,104,"['romance', 'drama']",['US'],,tt0080453,5.8,69053.0
9,tm119281,Bonnie and Clyde,MOVIE,1967,R,110,"['drama', 'crime', 'action']",['US'],,tt0061418,7.7,111189.0
10,tm67378,The Professionals,MOVIE,1966,PG-13,117,"['western', 'action', 'european']",['US'],,tt0060862,7.3,16168.0
11,tm44204,The Guns of Navarone,MOVIE,1961,,158,"['war', 'action', 'drama']","['US', 'GB']",,tt0054953,7.5,50150.0
12,tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,"['comedy', 'animation', 'action', 'fantasy', 'family']",['JP'],,tt0079833,7.6,30277.0
13,tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,"['comedy', 'documentation']",['US'],,tt0079807,8.1,5141.0
14,tm96649,The Long Riders,MOVIE,1980,R,99,"['western', 'crime']",['US'],,tt0081071,6.9,11329.0
15,tm16479,White Christmas,MOVIE,1954,,115,"['romance', 'comedy', 'music']",['US'],,tt0047673,7.5,42373.0
16,tm135083,Cairo Station,MOVIE,1958,,77,"['drama', 'crime', 'comedy']",['EG'],,tt0051390,7.5,4385.0
17,tm14491,The Queen,MOVIE,1968,,68,['documentation'],['US'],,tt0183686,7.2,1117.0
18,tm89386,Hitler: A Career,MOVIE,1977,PG,150,"['documentation', 'history', 'european']",['DE'],,tt0191182,7.5,2416.0
19,tm156453,FTA,MOVIE,1972,R,97,"['comedy', 'documentation', 'music']",['US'],,tt0068562,6.2,411.0
20,tm27298,Saladin the Victorious,MOVIE,1963,,186,"['drama', 'war', 'action', 'history', 'romance']",['EG'],,tt0057357,7.6,2470.0
21,tm356209,Singapore,MOVIE,1960,,158,"['drama', 'thriller', 'crime']",['IN'],,tt0268639,6.4,82.0
22,tm204541,Dark Waters,MOVIE,1956,,120,"['drama', 'action', 'romance', 'thriller']",['EG'],,tt0049761,6.7,590.0
23,tm14350,Alexandria… Why?,MOVIE,1979,,133,['drama'],['EG'],,tt0077751,7.2,1689.0
24,tm102287,Raya and Sakina,MOVIE,1953,,105,"['drama', 'thriller', 'crime', 'history']",['EG'],,tt0316472,6.8,231.0
25,tm76557,No Longer Kids,MOVIE,1979,,235,"['comedy', 'drama']",['EG'],,tt8312792,9.0,943.0
26,tm71909,Amrapali,MOVIE,1966,,120,['fantasy'],['IN'],,tt0060104,6.7,225.0
27,tm94651,Dostana,MOVIE,1980,,161,"['drama', 'comedy', 'romance', 'action', 'crime']",['IN'],,tt0080653,2.1,25.0
28,tm19608,The Blazing Sun,MOVIE,1954,,100,"['romance', 'crime', 'drama']",['EG'],,tt0044429,7.4,1219.0
29,ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,['comedy'],[],1.0,tt0202477,8.1,2144.0
30,tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,"['drama', 'crime']","['DZ', 'EG']",,tt0074168,7.2,768.0
31,tm75975,Prince,MOVIE,1969,,152,['romance'],['IN'],,tt0064842,6.9,168.0
32,tm97793,Lock Your Girls In,MOVIE,1980,,230,['comedy'],['EG'],,,,
33,tm85426,The Witness Who Didn't See Anything,MOVIE,1976,,217,['comedy'],['EG'],,,,
34,tm188894,The School of Mischief,MOVIE,1973,,251,['comedy'],['EG'],,,,
35,tm107372,Manoranjan,MOVIE,1974,,162,"['comedy', 'drama', 'romance']",['IN'],,tt0071811,6.5,236.0
36,tm200475,"Beirut, Oh Beirut",MOVIE,1975,,110,['drama'],['LB'],,tt0169599,6.5,106.0
37,tm259855,We Are All for the Fatherland,MOVIE,1979,,74,['documentation'],"['FR', 'LB', 'CA']",,tt0170799,6.2,43.0
38,tm259684,Whispers,MOVIE,1980,,93,['documentation'],"['FR', 'LB', 'CA']",,tt0170803,7.8,75.0
39,tm344089,Lal Patthar,MOVIE,1971,,153,['drama'],['IN'],,tt0237395,6.2,137.0
40,tm358653,Ujala,MOVIE,1959,,142,"['romance', 'crime', 'drama']",['IN'],,tt0157132,6.7,78.0
41,tm100027,Alibaba Aur 40 Chor,MOVIE,1979,,138,"['drama', 'action', 'romance', 'family', 'fantasy']","['IN', 'SU']",,tt0079749,6.2,555.0
42,tm10204,Professor,MOVIE,1962,,163,"['romance', 'comedy', 'drama']",['IN'],,tt0056379,6.8,285.0
43,tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,,135,['romance'],['IN'],,tt3290368,4.6,14.0
44,tm16812,Bandie,MOVIE,1978,,141,"['drama', 'romance', 'action']",['IN'],,tt1219315,4.2,35.0
